URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
85,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,31,64,-0.34736841739612195,0.08467023165359158,23,0.25,9.3,23,277,652,2,4,6
86,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,32,36,-0.05882352854671282,0.06296296290466391,29,0.18,11.67,29,196,517,2,7,6
87,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,2,0,0.99999950000025,0.014492753518168453,28,0.2,11.28,28,27,92,2,0,6
88,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,24,3,0.7777777489711944,0.05084745753136072,20,0.18,8.07,20,95,302,2,4,6
89,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,36,59,-0.2421052606094183,0.1028138527025824,34,0.23,13.69,34,210,509,2,3,6
90,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,32,29,0.049180327062617595,0.08519553060726881,24,0.11,9.64,24,77,322,2,42,5
91,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,10,43,-0.6226414976860095,0.05155642018331087,23,0.22,9.29,23,224,602,2,1,6
92,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,25,37,-0.19354838397502608,0.06025267243901586,20,0.24,8.1,20,244,564,2,0,6
93,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,40,57,-0.17525773015198218,0.0936293435389678,20,0.23,8.09,20,234,595,2,3,6
94,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,21,21,0.0,0.05243445686337771,24,0.22,9.69,24,176,444,2,8,6
95,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,56,52,0.037037036694101515,0.06940874031529001,23,0.2,9.28,23,308,835,2,6,6
96,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,30,42,-0.1666666643518519,0.04968944095949659,25,0.24,10.1,25,352,861,2,10,6
97,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,29,26,0.05454545355371903,0.06343713948853848,87,0.1,34.84,87,84,449,2,46,5
98,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,52,87,-0.25179855933957873,0.08039329087310972,29,0.22,11.69,29,383,999,2,13,6
99,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,52,55,-0.028037382915538478,0.08635996764619856,18,0.13,7.25,18,167,613,2,7,6
100,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,11,15,-0.15384614792899431,0.08201892718606017,23,0.26,9.3,23,84,189,2,1,7
101,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,55,98,-0.28104574979708663,0.07162921344961179,25,0.23,10.09,25,496,1288,2,9,6
102,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,57,65,-0.06557376995431337,0.0761548064443478,26,0.14,10.46,26,224,743,2,36,6
103,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,48,72,-0.19999999833333335,0.07046388721640405,21,0.2,8.48,21,334,961,2,14,6
104,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,52,87,-0.25179855933957873,0.07897727268239928,24,0.21,9.68,24,364,1004,2,18,6
105,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,26,43,-0.24637680802352452,0.0712809916618998,22,0.21,8.88,22,204,541,2,9,6
106,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,67,22,0.5056179718469891,0.04860731837869616,31,0.24,12.5,31,431,988,2,3,6
107,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,22,24,-0.04347825992438566,0.05522208876924119,26,0.2,10.48,26,167,454,2,3,6
108,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,41,88,-0.36434108244696833,0.09847328236757764,30,0.23,12.09,30,303,746,2,7,6
109,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,9,16,-0.27999998880000043,0.08620689625445897,21,0.23,8.49,21,67,151,2,4,6
110,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,8,9,-0.05882352595155729,0.03695652165879017,22,0.23,8.89,22,108,270,2,1,6
111,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,25,69,-0.46808510140335,0.05745721267881588,35,0.23,14.09,35,381,1061,2,3,6
112,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,96,32,0.49999999609375007,0.07507331373895992,24,0.24,9.7,24,414,1007,2,0,6
113,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,37,22,0.25423728382648675,0.041345479999057126,26,0.2,10.48,26,285,809,2,8,6
114,https://insights.blackcoffer.com/continued-demand-for-sustainability/,30,24,0.11111110905349798,0.08071748866858372,25,0.32,10.13,25,215,415,2,1,7
115,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,9,10,-0.05263157617728546,0.060317460125976316,39,0.25,15.7,39,80,188,2,4,6
116,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,12,8,0.1999999900000005,0.058651026220964735,26,0.14,10.46,26,47,181,2,7,6
117,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,2,19,-0.8095237709750585,0.052631578815459705,28,0.2,11.28,28,81,190,2,5,6
118,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,5,9,-0.2857142653061239,0.06392694034736557,36,0.19,14.48,36,41,124,2,4,6
119,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,6,11,-0.2941176297577865,0.06640624974060058,18,0.21,7.28,18,55,135,2,8,6
120,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,7,0,0.9999998571428775,0.04895104860873393,24,0.3,9.72,24,43,92,2,0,7
121,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy/,22,50,-0.38888888348765444,0.07982261631948712,24,0.2,9.68,24,181,509,2,0,6
122,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,10,22,-0.3749999882812504,0.07002188168485365,30,0.18,12.07,30,81,241,2,3,6
123,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy/,50,77,-0.21259842352284705,0.07114845934389441,26,0.22,10.49,26,395,996,2,1,6
124,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,6,29,-0.6571428383673475,0.05775577548225119,20,0.2,8.08,20,123,333,2,2,6
125,https://insights.blackcoffer.com/ensuring-growth-through-insurance-technology/,30,18,0.2499999947916668,0.044859813042187086,32,0.25,12.9,32,269,610,2,2,6
126,https://insights.blackcoffer.com/blockchain-in-fintech/,16,11,0.18518517832647488,0.03703703698623177,22,0.2,8.88,22,144,392,2,2,6
127,https://insights.blackcoffer.com/blockchain-for-payments/,29,28,0.017543859341335802,0.062227074167874374,19,0.21,7.68,19,195,545,2,9,6
128,https://insights.blackcoffer.com/the-future-of-investing/,43,15,0.48275861236623085,0.05291970798091267,23,0.24,9.3,23,263,637,2,2,6
129,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,43,50,-0.07526881639495897,0.08201058193826226,17,0.26,6.9,17,293,652,2,2,6
130,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,39,6,0.7333333170370374,0.08122743667648477,22,0.31,8.92,22,169,319,2,0,7
131,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,58,45,0.12621359100763505,0.10038986344991241,16,0.24,6.5,16,247,581,2,8,6
132,https://insights.blackcoffer.com/obstacles-to-data-driven-healthcare/,50,26,0.31578946952908593,0.07539682532202696,31,0.22,12.49,31,223,592,2,3,6
133,https://insights.blackcoffer.com/monetization-of-data-innovate-to-harvest-the-full-value-of-data/,39,12,0.5294117543252598,0.0641509433155334,21,0.26,8.5,21,209,475,2,0,6
134,https://insights.blackcoffer.com/traceability-of-information-master-your-data-capital/,26,16,0.238095232426304,0.04610318326443119,21,0.3,8.52,21,277,558,2,13,7
135,https://insights.blackcoffer.com/bank-risk-management-india/,31,23,0.14814814540466398,0.06674907284703452,19,0.18,7.67,19,143,457,2,0,6
136,https://insights.blackcoffer.com/advance-analytics-for-refocusing-profits/,67,21,0.5227272667871902,0.07045636503566344,18,0.3,7.32,18,369,763,2,0,7
137,https://insights.blackcoffer.com/role-of-big-data-analytics-banking-and-finance/,20,21,-0.024390243307555043,0.05373525549969167,19,0.25,7.7,19,187,460,2,0,6
138,https://insights.blackcoffer.com/mitigating-bank-risk-management/,16,28,-0.27272726652892576,0.11578947337950139,21,0.23,8.49,21,87,221,2,2,6
139,https://insights.blackcoffer.com/future-of-bank-risk-management/,29,56,-0.31764705508650526,0.10800508245488553,22,0.21,8.88,22,163,427,2,2,6
140,https://insights.blackcoffer.com/advanced-analytics-redefining-banking/,57,19,0.4999999934210527,0.04779874210830268,27,0.23,10.89,27,372,895,2,18,6
141,https://insights.blackcoffer.com/marketing-analytics-needs/,74,2,0.9473684085872578,0.05255878281289157,25,0.25,10.1,25,367,798,2,6,6
142,https://insights.blackcoffer.com/big-data-analytics-to-bring-transparency-and-good-governance/,38,18,0.3571428507653063,0.0677966100874133,24,0.28,9.71,24,233,485,2,0,6
143,https://insights.blackcoffer.com/how-political-leaders-will-shape-tomorrow-using-big-data-analytics/,54,18,0.49999999305555565,0.058205335442032866,33,0.23,13.29,33,285,685,2,0,6
144,https://insights.blackcoffer.com/big-data-and-analytics-to-help-form-political-leaders-win-election/,32,22,0.18518518175583,0.05584281276541591,20,0.24,8.1,20,232,541,2,3,6
145,https://insights.blackcoffer.com/the-emergence-of-data-analytics/,18,12,0.19999999333333354,0.05504587145863143,19,0.28,7.71,19,150,341,2,3,6
146,https://insights.blackcoffer.com/how-artificial-intelligence-can-deliver-real-value-to-companies-2/,70,17,0.6091953952966047,0.05807743654333949,20,0.24,8.1,20,365,845,2,5,6
147,https://insights.blackcoffer.com/the-prospective-recipe-of-success-in-the-age-of-analytics/,41,20,0.34426228943832315,0.04848966609817991,20,0.25,8.1,20,312,651,2,7,6
148,https://insights.blackcoffer.com/using-people-analytics-to-drive-business-performance/,26,10,0.44444443209876583,0.052708638283003456,23,0.2,9.28,23,134,344,2,4,6
149,https://insights.blackcoffer.com/how-artificial-intelligence-can-deliver-real-value-to-companies/,52,39,0.14285714128728416,0.07679324888034324,20,0.23,8.09,20,276,665,2,7,6
150,https://insights.blackcoffer.com/big-data-analytics-through-iot-in-oil-and-gas-industry/,53,60,-0.061946902106664585,0.07488402910875809,24,0.27,9.71,24,405,910,2,3,6
151,https://insights.blackcoffer.com/how-big-data-and-analytics-is-helping-marketing-leaders/,28,8,0.5555555401234572,0.04768211914214289,19,0.23,7.69,19,177,413,2,4,6
152,https://insights.blackcoffer.com/what-analytics-outsourcing-engagement-model-is-right-for-you/,30,3,0.8181817933884306,0.0699152540891626,22,0.24,8.9,22,114,249,2,0,6
153,https://insights.blackcoffer.com/big-data-analytics-solving-problems-banking-and-finance-industry/,23,17,0.1499999962500001,0.04219409278249568,19,0.24,7.7,19,223,517,2,3,6
154,https://insights.blackcoffer.com/analytics-healthcare-industry/,41,25,0.2424242387511479,0.0970588233866782,21,0.3,8.52,21,201,402,2,1,7
155,https://insights.blackcoffer.com/business-analytics-textile-industry/,38,3,0.8536585157644265,0.048809523751417234,34,0.27,13.71,34,228,458,2,1,6
156,https://insights.blackcoffer.com/big-data-marketing-reality/,35,13,0.45833332378472247,0.04887983701743397,25,0.21,10.08,25,203,552,2,1,6
157,https://insights.blackcoffer.com/understanding-millennial-market/,23,16,0.17948717488494426,0.06989247299302424,31,0.23,12.49,31,127,331,2,2,6
158,https://insights.blackcoffer.com/analytics-helping-fashion-e-tailers-develop-markets-developing-countries/,22,2,0.8333332986111125,0.03423680451606732,21,0.25,8.5,21,178,398,2,1,6
159,https://insights.blackcoffer.com/big-data-analytics-change-healthcare-developing-countries/,46,7,0.7358490427198294,0.0892255890753778,27,0.26,10.9,27,155,355,2,0,6
160,https://insights.blackcoffer.com/big-data-analytics-help-voters-know-political-leaders/,23,3,0.7692307396449716,0.033635187537341286,27,0.19,10.88,27,149,414,2,0,6
161,https://insights.blackcoffer.com/digital-transformation-oil-gas/,23,20,0.06976744023796651,0.06544901055487214,27,0.3,10.92,27,195,389,2,1,6
162,https://insights.blackcoffer.com/data-analytics-reduce-cost-production/,34,6,0.6999999825000005,0.051948051880586946,33,0.25,13.3,33,190,448,2,0,6
163,https://insights.blackcoffer.com/gaining-insights-internal-data-retail/,23,3,0.7692307396449716,0.045694200271187695,24,0.29,9.72,24,167,356,2,0,7
164,https://insights.blackcoffer.com/role-big-data-cyber-security/,35,31,0.06060605968778698,0.09166666653935185,27,0.33,10.93,27,239,470,2,0,7
165,https://insights.blackcoffer.com/role-big-data-healthcare/,55,53,0.018518518347050757,0.10140845060900613,23,0.3,9.32,23,318,654,2,0,7
166,https://insights.blackcoffer.com/data-driven-dashboards/,27,8,0.5428571273469392,0.043050430451352484,22,0.23,8.89,22,188,454,2,0,6
167,https://insights.blackcoffer.com/role-big-data-academia/,44,18,0.41935483194588985,0.04161073822710688,23,0.22,9.29,23,333,827,2,15,6
168,https://insights.blackcoffer.com/sales-forecasting-in-retail/,29,15,0.3181818109504134,0.06241134742920376,25,0.29,10.12,25,202,437,2,0,7
169,https://insights.blackcoffer.com/detect-data-exfiltration-over-the-network/,18,48,-0.4545454476584023,0.06896551716931502,18,0.28,7.31,18,267,601,2,6,7
170,https://insights.blackcoffer.com/data-exfiltration/,2,4,-0.33333327777778704,0.01232032851679604,20,0.21,8.08,20,101,268,2,11,6
171,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,9,8,0.05882352595155729,0.05964912259772238,26,0.21,10.48,26,59,153,2,0,6
